epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,192.126,1.92143,2.40152,1.02206,0.01043,0.65874,0.05441,0.03092,1.64537,3.36345,0.98063,0.000648148,0.000648148,0.000648148
2,390.388,1.60672,1.3115,0.93438,0.9833,0.39988,0.7085,0.39236,1.56516,2.5463,0.94686,0.0013018,0.0013018,0.0013018
3,587.805,1.57636,1.15153,0.92953,0.82823,0.74873,0.78577,0.40845,1.50869,1.6727,0.93339,0.00194225,0.00194225,0.00194225
4,783.407,1.51185,1.05576,0.91783,0.91714,0.82689,0.87961,0.58457,1.21255,1.0304,0.89887,0.0019406,0.0019406,0.0019406
5,974.044,1.40276,0.9459,0.88895,0.92511,0.7691,0.86963,0.51737,1.37704,1.1383,0.91577,0.0019208,0.0019208,0.0019208
6,1160.3,1.3697,0.88333,0.89701,0.91162,0.7725,0.85878,0.47734,1.49524,0.98544,0.93157,0.001901,0.001901,0.001901
7,1357.9,1.38945,0.8609,0.89197,0.93961,0.84538,0.90338,0.5962,1.176,0.83414,0.87877,0.0018812,0.0018812,0.0018812
8,1555.62,1.30743,0.79325,0.87676,0.9612,0.77759,0.87294,0.58609,1.15054,0.82844,0.88347,0.0018614,0.0018614,0.0018614
9,1752.71,1.28996,0.77152,0.8758,0.94314,0.8438,0.90976,0.61384,1.16578,0.77512,0.876,0.0018416,0.0018416,0.0018416
10,1948.13,1.29055,0.75336,0.87683,0.9527,0.8549,0.91353,0.63534,1.11397,0.71292,0.87604,0.0018218,0.0018218,0.0018218
11,2156.11,1.25736,0.72561,0.86826,0.94706,0.85229,0.90964,0.63007,1.10007,0.85702,0.87367,0.001802,0.001802,0.001802
12,2355.87,1.27945,0.72051,0.86952,0.94081,0.85908,0.91943,0.64508,1.07045,0.72443,0.86361,0.0017822,0.0017822,0.0017822
13,2551.78,1.24117,0.69132,0.86811,0.92072,0.85059,0.91423,0.65152,1.0671,0.72817,0.86886,0.0017624,0.0017624,0.0017624
14,2746.36,1.20335,0.66938,0.86254,0.94202,0.85059,0.91698,0.65024,1.09203,0.68047,0.86794,0.0017426,0.0017426,0.0017426
15,2941.1,1.20736,0.66875,0.86245,0.96614,0.87203,0.94008,0.67353,1.0372,0.61958,0.85929,0.0017228,0.0017228,0.0017228
16,3145.52,1.20954,0.66163,0.85961,0.94735,0.86418,0.93234,0.64643,1.10248,0.65622,0.87264,0.001703,0.001703,0.001703
17,3343.88,1.1788,0.64893,0.8578,0.96326,0.84041,0.9169,0.63275,1.13915,0.67407,0.87982,0.0016832,0.0016832,0.0016832
18,3538.74,1.19605,0.64343,0.85944,0.93249,0.89134,0.93095,0.65429,1.07953,0.61217,0.86481,0.0016634,0.0016634,0.0016634
19,3732.45,1.16069,0.61831,0.85405,0.95213,0.83362,0.91638,0.59212,1.29,0.71027,0.89265,0.0016436,0.0016436,0.0016436
20,3929.53,1.17996,0.62505,0.853,0.97718,0.87229,0.94013,0.67355,1.04093,0.59884,0.85948,0.0016238,0.0016238,0.0016238
21,4126,1.14287,0.60946,0.85429,0.95967,0.84838,0.93288,0.66483,1.06991,0.62246,0.8649,0.001604,0.001604,0.001604
22,4320.88,1.18737,0.63465,0.85609,0.95365,0.87327,0.93414,0.66551,1.08339,0.61692,0.86494,0.0015842,0.0015842,0.0015842
23,4519.28,1.15985,0.60876,0.85266,0.96127,0.87946,0.93991,0.67159,1.0375,0.58635,0.8512,0.0015644,0.0015644,0.0015644
24,4714.67,1.12261,0.60498,0.85209,0.96207,0.86587,0.93944,0.70162,0.98381,0.59832,0.84872,0.0015446,0.0015446,0.0015446
25,4912.62,1.11052,0.60421,0.84924,0.95625,0.89643,0.93994,0.691,0.98679,0.58018,0.84931,0.0015248,0.0015248,0.0015248
26,5108.6,1.13791,0.60638,0.85162,0.95257,0.90492,0.94062,0.68148,1.00251,0.56922,0.85222,0.001505,0.001505,0.001505
27,5304.19,1.12597,0.58619,0.84686,0.95971,0.88963,0.9419,0.69667,0.97887,0.57762,0.84946,0.0014852,0.0014852,0.0014852
28,5498.88,1.11846,0.58958,0.85255,0.96718,0.86587,0.93395,0.69275,0.98555,0.58059,0.8523,0.0014654,0.0014654,0.0014654
29,5701.54,1.14001,0.592,0.84593,0.95771,0.86927,0.93537,0.68468,1.03956,0.60967,0.85711,0.0014456,0.0014456,0.0014456
30,5906.33,1.09406,0.57153,0.84497,0.94291,0.89737,0.93942,0.68858,1.00058,0.58153,0.85505,0.0014258,0.0014258,0.0014258
31,6103.02,1.10481,0.5757,0.84258,0.95532,0.89304,0.94004,0.70752,0.95054,0.57314,0.84747,0.001406,0.001406,0.001406
32,6298.31,1.08458,0.56869,0.84572,0.94954,0.87776,0.93035,0.68304,1.00945,0.59823,0.85482,0.0013862,0.0013862,0.0013862
33,6493.47,1.08457,0.56644,0.84347,0.95703,0.8697,0.93192,0.69026,0.95525,0.66518,0.84476,0.0013664,0.0013664,0.0013664
34,6693.78,1.06295,0.55685,0.84276,0.95987,0.89352,0.94242,0.69951,0.97854,0.54435,0.85048,0.0013466,0.0013466,0.0013466
35,6899.12,1.08931,0.56196,0.83519,0.9669,0.89261,0.94408,0.71051,0.95473,0.53334,0.84736,0.0013268,0.0013268,0.0013268
36,7093.78,1.05793,0.54389,0.83777,0.96199,0.85934,0.93837,0.70658,0.96928,0.5677,0.84519,0.001307,0.001307,0.001307
37,7287.51,1.05698,0.54461,0.83938,0.97619,0.87946,0.93857,0.70486,0.94658,0.53934,0.8437,0.0012872,0.0012872,0.0012872
38,7482.43,1.05847,0.55171,0.84036,0.97229,0.86927,0.92901,0.68222,0.98376,0.60346,0.84385,0.0012674,0.0012674,0.0012674
39,7677.48,1.05312,0.54802,0.83804,0.95058,0.8817,0.93468,0.67688,1.0129,0.57163,0.85675,0.0012476,0.0012476,0.0012476
40,7872.77,1.04961,0.54038,0.84055,0.94736,0.88615,0.93787,0.70234,0.96374,0.55974,0.84717,0.0012278,0.0012278,0.0012278
41,8070.01,1.05663,0.54717,0.83846,0.96734,0.88964,0.94631,0.71099,0.9504,0.52552,0.84587,0.001208,0.001208,0.001208
42,8265.94,1.0551,0.53825,0.83739,0.97004,0.88795,0.94582,0.71295,0.94564,0.53533,0.84292,0.0011882,0.0011882,0.0011882
43,8462.45,1.01979,0.53913,0.83297,0.94641,0.89954,0.94287,0.70585,0.94847,0.55304,0.84378,0.0011684,0.0011684,0.0011684
44,8658.86,1.0202,0.52849,0.83835,0.95078,0.86757,0.93639,0.69672,0.9711,0.57307,0.84606,0.0011486,0.0011486,0.0011486
45,8853.68,1.04176,0.53356,0.83403,0.94728,0.88469,0.93682,0.71086,0.94961,0.5633,0.84222,0.0011288,0.0011288,0.0011288
46,9048.71,1.0265,0.51967,0.83122,0.97121,0.88115,0.94152,0.70232,0.95161,0.5502,0.83706,0.001109,0.001109,0.001109
47,9246.76,1.01457,0.51839,0.83206,0.96373,0.90223,0.94942,0.71799,0.92139,0.5396,0.83646,0.0010892,0.0010892,0.0010892
48,9454.67,1.01287,0.51822,0.82856,0.96822,0.88964,0.94913,0.71562,0.93677,0.51897,0.84122,0.0010694,0.0010694,0.0010694
49,9650.12,0.99081,0.50895,0.82996,0.96364,0.89981,0.94702,0.7174,0.933,0.52416,0.83974,0.0010496,0.0010496,0.0010496
50,9845.53,0.99232,0.50804,0.83015,0.97478,0.90323,0.94896,0.72584,0.90803,0.51226,0.83996,0.0010298,0.0010298,0.0010298
51,10040,0.99091,0.5067,0.82727,0.97214,0.89474,0.95314,0.73316,0.91281,0.51096,0.83657,0.00101,0.00101,0.00101
52,10234.9,1.00202,0.50422,0.82769,0.97264,0.89304,0.94923,0.72382,0.94506,0.51304,0.84341,0.0009902,0.0009902,0.0009902
53,10443.9,0.99009,0.50381,0.83164,0.96857,0.89643,0.94361,0.70613,0.9577,0.52235,0.84872,0.0009704,0.0009704,0.0009704
54,10639.1,1.0007,0.50213,0.82921,0.97242,0.86587,0.93375,0.70287,0.9665,0.54035,0.84575,0.0009506,0.0009506,0.0009506
55,10833.9,0.98717,0.50043,0.82409,0.96494,0.88787,0.94149,0.71407,0.93519,0.53667,0.83835,0.0009308,0.0009308,0.0009308
56,11030,1.01377,0.50645,0.83279,0.96718,0.88285,0.94193,0.71121,0.94705,0.55167,0.84407,0.000911,0.000911,0.000911
57,11225.1,1.0069,0.50217,0.82955,0.95381,0.90492,0.94582,0.72077,0.95053,0.51746,0.84258,0.0008912,0.0008912,0.0008912
58,11420.9,0.9712,0.48436,0.82979,0.97026,0.88795,0.9472,0.72782,0.90804,0.49856,0.84012,0.0008714,0.0008714,0.0008714
59,11617.2,0.96997,0.4917,0.8289,0.9594,0.88964,0.94263,0.72575,0.9078,0.53404,0.83997,0.0008516,0.0008516,0.0008516
60,11813.7,0.96324,0.48783,0.82639,0.96043,0.90653,0.95033,0.73274,0.91102,0.49294,0.84,0.0008318,0.0008318,0.0008318
61,12013.5,0.96705,0.48852,0.83007,0.97757,0.88774,0.94248,0.71936,0.91345,0.5183,0.84203,0.000812,0.000812,0.000812
62,12211.5,0.97813,0.49158,0.82764,0.96637,0.89474,0.94536,0.71802,0.92734,0.51009,0.84224,0.0007922,0.0007922,0.0007922
63,12408.8,0.97041,0.49153,0.82509,0.94851,0.90153,0.94534,0.72696,0.89185,0.5009,0.83877,0.0007724,0.0007724,0.0007724
64,12603.6,0.93619,0.47342,0.82693,0.96372,0.90195,0.9474,0.73589,0.88495,0.49717,0.83161,0.0007526,0.0007526,0.0007526
65,12799.9,0.9522,0.47167,0.82185,0.95418,0.90323,0.94923,0.74146,0.8811,0.48903,0.83385,0.0007328,0.0007328,0.0007328
66,13011.7,0.96736,0.48242,0.82188,0.96337,0.89474,0.94559,0.73213,0.91777,0.50276,0.84003,0.000713,0.000713,0.000713
67,13208.5,0.93796,0.47073,0.82227,0.96984,0.88964,0.94529,0.73411,0.89248,0.50351,0.83687,0.0006932,0.0006932,0.0006932
68,13403.3,0.96047,0.47815,0.82523,0.97421,0.88285,0.9397,0.72438,0.89585,0.51773,0.83535,0.0006734,0.0006734,0.0006734
69,13598.6,0.91416,0.45648,0.82161,0.9719,0.88079,0.93883,0.71454,0.92492,0.51877,0.84155,0.0006536,0.0006536,0.0006536
70,13795.1,0.9855,0.48995,0.82029,0.9491,0.90492,0.94648,0.71428,0.92528,0.50447,0.84093,0.0006338,0.0006338,0.0006338
71,14004.9,0.96049,0.47567,0.82068,0.95811,0.89303,0.94364,0.72895,0.9121,0.50987,0.84162,0.000614,0.000614,0.000614
72,14200.3,0.94996,0.47738,0.82452,0.94573,0.91341,0.94837,0.73304,0.89878,0.48947,0.83721,0.0005942,0.0005942,0.0005942
73,14395.1,0.94523,0.47386,0.82163,0.96873,0.88795,0.94595,0.72183,0.90573,0.51413,0.83724,0.0005744,0.0005744,0.0005744
74,14588.7,0.92393,0.47043,0.81883,0.96201,0.90291,0.94517,0.71967,0.92602,0.50007,0.84222,0.0005546,0.0005546,0.0005546
75,14782.9,0.92504,0.46083,0.81895,0.97577,0.8887,0.94551,0.73252,0.9089,0.49703,0.83916,0.0005348,0.0005348,0.0005348
76,14977.7,0.94098,0.46201,0.82295,0.9686,0.89035,0.94676,0.72194,0.90857,0.49492,0.84013,0.000515,0.000515,0.000515
77,15175.1,0.90159,0.44921,0.82239,0.96199,0.90231,0.94576,0.73408,0.88916,0.49475,0.8371,0.0004952,0.0004952,0.0004952
78,15372.3,0.91485,0.45848,0.82414,0.96379,0.90383,0.949,0.73448,0.89996,0.48775,0.83639,0.0004754,0.0004754,0.0004754
79,15567.9,0.94026,0.4669,0.81839,0.96796,0.89304,0.94849,0.7272,0.91134,0.50652,0.83744,0.0004556,0.0004556,0.0004556
80,15764.2,0.92738,0.45613,0.82138,0.96798,0.89304,0.94425,0.72747,0.91636,0.50236,0.83981,0.0004358,0.0004358,0.0004358
81,15961.6,0.8998,0.44666,0.82203,0.95647,0.89531,0.94299,0.73496,0.88581,0.48951,0.83632,0.000416,0.000416,0.000416
82,16157.3,0.92418,0.4531,0.81891,0.9592,0.87812,0.94217,0.73163,0.89942,0.49075,0.83837,0.0003962,0.0003962,0.0003962
83,16352.3,0.92263,0.45565,0.81991,0.96854,0.88864,0.94662,0.73119,0.88521,0.4804,0.83345,0.0003764,0.0003764,0.0003764
84,16559.5,0.90264,0.44579,0.81693,0.96738,0.89643,0.94323,0.73293,0.88838,0.48899,0.8339,0.0003566,0.0003566,0.0003566
85,16759.2,0.90652,0.44181,0.8175,0.96711,0.89848,0.94824,0.73979,0.88215,0.47302,0.83405,0.0003368,0.0003368,0.0003368
86,16955.6,0.88623,0.43949,0.81538,0.9618,0.89758,0.94996,0.7374,0.90253,0.47257,0.83781,0.000317,0.000317,0.000317
87,17151.1,0.89726,0.43747,0.81989,0.95799,0.89983,0.94609,0.73254,0.88491,0.48749,0.83433,0.0002972,0.0002972,0.0002972
88,17345.6,0.8754,0.42778,0.8157,0.96269,0.90153,0.94935,0.73795,0.88361,0.47474,0.83357,0.0002774,0.0002774,0.0002774
89,17551.5,0.87188,0.42871,0.81395,0.97493,0.90662,0.94981,0.74727,0.87043,0.45736,0.83178,0.0002576,0.0002576,0.0002576
